,CarID,Name,Amount,Region,use_type,Mileage
0,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
1,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
2,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
3,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
4,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
5,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
6,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
7,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
8,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
9,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
10,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
11,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
12,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
13,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
14,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
15,/3fvNXnLVGw2Y67Z0JKLnIvSJ,Toyota Camry 2001 Gray,"₦ 1,687,500","Ogun State, Ado-Odo/Ota",Nigerian Used,276132 km
16,/a3fe4ta0XUcGhbBCFXLUVEEH,Lexus ES 2010 Gray,"₦ 4,893,750","Lagos State, Kosofe",Nigerian Used,176369 km
17,/3lEQBOP4vRY8IB3JBalQiKHN,Toyota Camry 2016 Gold,"₦ 7,200,000","Lagos State, Ikeja",Nigerian Used,59136 km
18,/xxYkOk7CwNIo5TxNyzZeDWM1,Ford Focus 2008 Gray,"₦ 3,600,000","Abuja (FCT), Gwarinpa",Nigerian Used,106675 km
19,/tsQLiM5hNoP5tdL3Kp6uBF1q,Toyota Sienna 2004 Gray,"₦ 2,767,500","Lagos State, Ikotun/Igando",Nigerian Used,314061 km
20,/k6jyJ9CWzYUR6EbOfTW02Xw5,Toyota Camry 2005 Brown,"₦ 2,587,500","Lagos State, Lekki",Nigerian Used,250751 km
21,/xB5tdabMozmY13OKoVQFY1wI,Toyota Camry 2003 Green,"₦ 2,025,000","Lagos State, Yaba",Nigerian Used,387076 km
22,/3bfCQ8QaVExLMBKXuELzBz84,Toyota Camry 2009 Black,"₦ 2,756,250","Lagos State, Ikorodu",Nigerian Used,242352 km
23,/d7wlB0IiNJkzsLbo0hRxNGCm,Toyota Camry 2005 Red,"₦ 1,828,125","Lagos State, Yaba",Nigerian Used,103388 km
24,/wSAa5r7PYL0PGJ1CZeuSDMyQ,Toyota Camry 2013 Black,"₦ 6,750,000","Abuja (FCT), Garki 2",Nigerian Used,119635 km
25,/yyReJIUl0CIayyrnwCGTlLMp,Toyota Venza 2010 Blue,"₦ 2,587,500","Lagos State, Yaba",Nigerian Used,86914 km
26,/8iEhUixQJVqhVF7dsFxbcmuc,Nissan Micra 2003 Gold,"₦ 731,250","Oyo State, Ibadan",Nigerian Used,83877 km
27,/mhtLkWoF5d5Mw98xHUEGodgt,Mercedes-Benz C180 2004 Blue,"₦ 2,812,500","Akwa Ibom State, Uyo",Nigerian Used,220801 km
28,/hed2bxf1Gql5YAyLCLk2QrWY,Toyota Corolla 2006 Silver,"₦ 2,812,500","Oyo State, Ibadan",Nigerian Used,173109 km
29,/uHRYHS3BOEJ4x6YtZ4IV0MJ4,Nissan Pathfinder 1996 Green,"₦ 1,350,000","Oyo State, Ibadan",Nigerian Used,242560 km
30,/5oOe7EvZEqLeCCvTggyCobMY,Toyota Camry 2005 Blue,"₦ 2,812,500","Abuja (FCT), Garki 2",Nigerian Used,131648 km
31,/jHCELcuAAKOxI88PYYj1mifJ,Toyota Sienna 2011 Gold,"₦ 8,797,500","Lagos State, Mushin",Foreign Used,139660 km
32,/3SMZyeOVOcm5xQr3U8c7swZ,Toyota Solara 2008 White,"₦ 2,812,500","Abuja (FCT), Jabi",Nigerian Used,212525 km
33,/5Ii0IAM8VsqJPqMjC6lBrmLh,Mercedes-Benz GL-Class 2013 Gray,"₦ 14,062,500","Abuja (FCT), Wuse",Nigerian Used,170422 km
